,from,to,distance
276,DELOITTE,Motodynamics,2.1859829722665403
277,DELOITTE,PEPSICO,1.8355303340218174
278,DELOITTE,ΥΠΕΡΤΑΜΕΙΟ ,1.9812856203742262
279,DELOITTE,PWC ,0.5063291139240507
280,DELOITTE,Johnson & Johnson,1.7218800812659794
281,DELOITTE,Nespresso,2.449617317051788
282,DELOITTE,STOP,2.6362867847669027
283,DELOITTE,Everest,3.0
284,DELOITTE,Intersalonica,2.4392638257344395
285,Johnson & Johnson,Diana Shipping,2.036587687468575
286,Johnson & Johnson,HOWDEN,2.236159697041911
287,Johnson & Johnson,Interamerican,2.236159697041911
288,Johnson & Johnson,IT CAFE,2.2362593168625247
289,Johnson & Johnson,Mc Donald's,2.2362134596046865
290,Johnson & Johnson,National Energy,2.236159697041911
291,Johnson & Johnson,Public,2.0002307189466384
292,Johnson & Johnson,Qualco,1.7322330701234434
293,Johnson & Johnson,Socialdoo,2.0000576822318017
294,Johnson & Johnson,Optima Bank AE,2.008335202801816
295,Johnson & Johnson,Motodynamics,2.0110752880716776
296,Johnson & Johnson,PEPSICO,1.7721139236437526
297,Johnson & Johnson,ΥΠΕΡΤΑΜΕΙΟ ,1.7321692153697257
298,Johnson & Johnson,PWC ,1.492155420870107
299,Johnson & Johnson,DELOITTE,1.7218800812659794
300,Johnson & Johnson,Nespresso,2.236277946104915
301,Johnson & Johnson,STOP,2.449501517260933
302,Johnson & Johnson,Everest,2.828482641317641
303,Johnson & Johnson,Intersalonica,2.236080875787728
304,Nespresso,Diana Shipping,2.2720583960522016
305,Nespresso,HOWDEN,2.0005167024022295
306,Nespresso,Interamerican,2.0005167024022295
307,Nespresso,IT CAFE,1.4142158283760262
308,Nespresso,Mc Donald's,1.4142702113571701
309,Nespresso,National Energy,2.0005167024022295
310,Nespresso,Public,1.7328989387075504
311,Nespresso,Qualco,2.44953684035461
312,Nespresso,Socialdoo,2.236209160438551
313,Nespresso,Optima Bank AE,2.2451787875389213
314,Nespresso,Motodynamics,2.2451673215764343
315,Nespresso,PEPSICO,2.038285243457481
316,Nespresso,ΥΠΕΡΤΑΜΕΙΟ ,2.449911646690609
317,Nespresso,PWC ,2.290051515525145
318,Nespresso,DELOITTE,2.449617317051788
319,Nespresso,Johnson & Johnson,2.236277946104915
320,Nespresso,STOP,1.0006327612710957
321,Nespresso,Everest,2.636403800634493
322,Nespresso,Intersalonica,2.0003164556962023
323,STOP,Diana Shipping,2.4782876277330517
324,STOP,HOWDEN,1.7320970615794757
